SSPs   H_beta  e_H_beta   Fe5335  e_Fe5335
m22ssp005.spec     1.40   0.01     0.00   0.00
m22ssp010.spec     1.39   0.01     0.00   0.00
m22ssp015.spec     1.40   0.01     0.00   0.00
m22ssp020.spec     1.32   0.01     0.00   0.00
m22ssp025.spec     1.41   0.01     0.00   0.00
m22ssp030.spec     1.31   0.01     0.00   0.00
m22ssp035.spec     1.31   0.01     0.00   0.00
m22ssp040.spec     1.85   0.02     0.00   0.00
m22ssp045.spec     3.44   0.07     0.64   0.13
m22ssp050.spec     1.90   0.05     0.69   0.06
m22ssp055.spec     1.99   0.03     0.47   0.03
m22ssp060.spec     2.77   0.02     0.00   0.00
m22ssp065.spec     2.77   0.02     0.00   0.00
m22ssp070.spec     2.88   0.02     0.00   0.00
m22ssp075.spec     3.20   0.03     0.00   0.00
m22ssp080.spec     3.64   0.03     0.00   0.00
m22ssp085.spec     3.86   0.04     0.00   0.00
m22ssp090.spec     4.36   0.04     0.01   0.04
m22ssp095.spec     4.36   0.04     0.04   0.05
m22ssp100.spec     4.29   0.04     0.05   0.05
m22ssp105.spec     4.42   0.04     0.07   0.05
m22ssp110.spec     4.62   0.04     0.09   0.05
m22ssp115.spec     4.78   0.05     0.19   0.05
m22ssp120.spec     5.02   0.06     0.41   0.04
m22ssp125.spec     6.47   0.08     0.29   0.03
m22ssp130.spec     6.72   0.09     0.30   0.03
m22ssp135.spec     6.54   0.09     0.33   0.03
m22ssp140.spec     4.53   0.06     0.52   0.03
m22ssp145.spec     4.39   0.06     0.54   0.03
m22ssp150.spec     4.23   0.06     0.54   0.03
m22ssp155.spec     3.81   0.05     0.57   0.03
m22ssp160.spec     3.53   0.05     0.67   0.04
m22ssp165.spec     3.23   0.04     0.68   0.03
m22ssp170.spec     3.14   0.04     0.66   0.03
m22ssp175.spec     3.13   0.04     0.65   0.03
m22ssp180.spec     3.09   0.03     0.65   0.03
m22ssp185.spec     3.02   0.04     0.65   0.03
m22ssp190.spec     2.97   0.04     0.66   0.03
m22ssp195.spec     2.97   0.04     0.66   0.03
m22ssp200.spec     2.90   0.03     0.68   0.03
m22ssp205.spec     2.84   0.04     0.70   0.03
m22ssp210.spec     2.77   0.03     0.72   0.04
m22ssp215.spec     2.71   0.03     0.74   0.03
m22ssp220.spec     2.65   0.04     0.77   0.03
m32ssp005.spec     1.72   0.01     0.00   0.00
m32ssp010.spec     1.72   0.01     0.00   0.00
m32ssp015.spec     1.72   0.01     0.00   0.00
m32ssp020.spec     1.72   0.02     0.00   0.00
m32ssp025.spec     1.72   0.01     0.00   0.00
m32ssp030.spec     1.97   0.01     0.00   0.00
m32ssp035.spec     2.10   0.02     0.00   0.00
m32ssp040.spec     2.61   0.02     0.00   0.00
m32ssp045.spec     4.54   0.04     0.15   0.06
m32ssp050.spec     3.23   0.03     0.32   0.05
m32ssp055.spec     3.21   0.02     0.10   0.03
m32ssp060.spec     3.30   0.03     0.01   0.02
m32ssp065.spec     3.43   0.03     0.00   0.00
m32ssp070.spec     3.66   0.03     0.00   0.00
m32ssp075.spec     4.00   0.03     0.08   0.03
m32ssp080.spec     4.14   0.04     0.11   0.03
m32ssp085.spec     4.26   0.04     0.12   0.04
m32ssp090.spec     4.28   0.04     0.15   0.04
m32ssp095.spec     4.27   0.04     0.17   0.05
m32ssp100.spec     4.28   0.03     0.18   0.05
m32ssp105.spec     4.35   0.04     0.16   0.05
m32ssp110.spec     4.46   0.04     0.16   0.05
m32ssp115.spec     5.05   0.05     0.25   0.05
m32ssp120.spec     5.65   0.06     0.35   0.05
m32ssp125.spec     6.25   0.08     0.36   0.04
m32ssp130.spec     6.32   0.09     0.34   0.03
m32ssp135.spec     5.04   0.07     0.41   0.03
