Gal   H_beta  e_H_beta   Mgb  e_Mgb   Fe5270  e_Fe5270   Fe5335  e_Fe5335
0289-51990-0627.txt     0.00   0.00     0.00   0.00     0.98   0.59     2.58   0.73
0307-51663-0068.txt     0.00   0.00     3.52   0.22     2.59   0.15     2.42   0.16
0310-51990-0445.txt     1.95   0.10     4.66   0.15     3.47   0.15     3.12   0.15
0441-51868-0303.txt     0.00   0.00     1.60   0.16     1.27   0.17     1.61   0.14
0463-51908-0117.txt     0.91   0.05     4.42   0.09     2.70   0.13     2.07   0.11
0463-51908-0235.txt     0.00   0.00     1.17   0.21     0.59   0.12     1.02   0.13
0523-52026-0480.txt     0.00   0.00     0.38   0.22     0.96   0.26     0.45   0.32
0579-52338-0083.txt     0.00   0.00     2.33   0.21     2.03   0.19     2.08   0.14
0581-52356-0306.txt     0.00   0.00     1.28   0.19     1.41   0.19     0.24   0.11
0601-52316-0021.txt     0.00   0.00     1.60   0.24     0.85   0.18     1.48   0.22
0759-52254-0294.txt     0.00   0.00     1.93   0.29     1.50   0.17     1.85   0.24
0817-52381-0356.txt     1.58   0.04     4.41   0.08     2.81   0.09     2.36   0.12
0843-52378-0541.txt     0.00   0.00     0.87   0.24     0.17   0.15     0.69   0.12
0892-52378-0560.txt     0.00   0.00     2.26   0.24     1.70   0.18     1.76   0.19
0905-52643-0497.txt     0.00   0.00     1.06   0.23     0.11   0.10     0.72   0.09
1172-52759-0409.txt     0.00   0.00     0.32   0.29     1.03   0.29     1.60   0.28
1191-52674-0265.txt     0.00   0.00     2.02   0.20     1.64   0.14     1.58   0.12
1439-53003-0593.txt     0.00   0.00     0.66   0.14     0.71   0.16     0.80   0.15
1706-53442-0525.txt     1.34   0.07     4.22   0.10     2.50   0.10     2.24   0.07
