SSPs   Mgb  e_Mgb   Fe5270  e_Fe5270   Fe5335  e_Fe5335
m22ssp005.spec     0.00   0.00     0.00   0.00     0.00   0.00
m22ssp010.spec     0.00   0.00     0.00   0.00     0.00   0.00
m22ssp015.spec     0.00   0.00     0.00   0.00     0.00   0.00
m22ssp020.spec     0.00   0.00     0.00   0.00     0.00   0.00
m22ssp025.spec     0.00   0.00     0.00   0.00     0.00   0.00
m22ssp030.spec     0.00   0.00     0.00   0.00     0.00   0.00
m22ssp035.spec     0.00   0.00     0.00   0.00     0.00   0.00
m22ssp040.spec     0.00   0.00     0.00   0.00     0.00   0.00
m22ssp045.spec     0.80   0.11     0.67   0.17     0.66   0.15
m22ssp050.spec     0.61   0.09     0.63   0.09     0.68   0.05
m22ssp055.spec     0.35   0.06     0.41   0.06     0.47   0.03
m22ssp060.spec     0.00   0.00     0.00   0.00     0.00   0.00
m22ssp065.spec     0.00   0.00     0.00   0.00     0.00   0.00
m22ssp070.spec     0.00   0.00     0.00   0.00     0.00   0.00
m22ssp075.spec     0.00   0.00     0.00   0.00     0.00   0.00
m22ssp080.spec     0.03   0.04     0.03   0.02     0.00   0.00
m22ssp085.spec     0.09   0.05     0.06   0.02     0.00   0.00
m22ssp090.spec     0.25   0.04     0.07   0.04     0.01   0.04
m22ssp095.spec     0.42   0.05     0.06   0.07     0.04   0.05
m22ssp100.spec     0.44   0.04     0.07   0.07     0.05   0.05
m22ssp105.spec     0.45   0.04     0.09   0.08     0.07   0.05
m22ssp110.spec     0.44   0.05     0.11   0.07     0.11   0.05
m22ssp115.spec     0.47   0.04     0.16   0.06     0.19   0.06
m22ssp120.spec     0.43   0.03     0.36   0.06     0.41   0.03
m22ssp125.spec     0.44   0.02     0.19   0.06     0.29   0.03
m22ssp130.spec     0.49   0.02     0.18   0.05     0.30   0.02
m22ssp135.spec     0.61   0.02     0.25   0.05     0.34   0.03
m22ssp140.spec     0.69   0.05     0.52   0.06     0.52   0.03
m22ssp145.spec     0.73   0.05     0.55   0.07     0.53   0.03
m22ssp150.spec     0.75   0.05     0.56   0.07     0.54   0.03
m22ssp155.spec     0.82   0.05     0.61   0.07     0.57   0.03
m22ssp160.spec     0.85   0.07     0.74   0.08     0.67   0.03
m22ssp165.spec     0.85   0.08     0.78   0.08     0.68   0.04
m22ssp170.spec     0.86   0.07     0.73   0.07     0.66   0.03
m22ssp175.spec     0.86   0.07     0.71   0.08     0.64   0.03
m22ssp180.spec     0.87   0.07     0.72   0.07     0.64   0.03
m22ssp185.spec     0.89   0.07     0.71   0.07     0.65   0.03
m22ssp190.spec     0.89   0.07     0.72   0.07     0.65   0.03
m22ssp195.spec     0.90   0.07     0.72   0.08     0.66   0.03
m22ssp200.spec     0.92   0.07     0.76   0.08     0.67   0.03
m22ssp205.spec     0.94   0.09     0.79   0.07     0.70   0.03
m22ssp210.spec     0.96   0.08     0.81   0.08     0.72   0.03
m22ssp215.spec     0.98   0.09     0.82   0.08     0.74   0.03
m22ssp220.spec     0.98   0.09     0.85   0.09     0.77   0.03
m32ssp005.spec     0.00   0.00     0.00   0.00     0.00   0.00
m32ssp010.spec     0.00   0.00     0.00   0.00     0.00   0.00
m32ssp015.spec     0.00   0.00     0.00   0.00     0.00   0.00
m32ssp020.spec     0.00   0.00     0.00   0.00     0.00   0.00
m32ssp025.spec     0.00   0.00     0.00   0.00     0.00   0.00
m32ssp030.spec     0.00   0.00     0.00   0.00     0.00   0.00
m32ssp035.spec     0.00   0.00     0.00   0.00     0.00   0.00
m32ssp040.spec     0.00   0.00     0.00   0.00     0.00   0.00
m32ssp045.spec     0.31   0.04     0.18   0.08     0.15   0.06
m32ssp050.spec     0.33   0.04     0.28   0.06     0.32   0.04
m32ssp055.spec     0.14   0.02     0.07   0.04     0.10   0.03
m32ssp060.spec     0.00   0.00     0.01   0.02     0.01   0.02
m32ssp065.spec     0.00   0.00     0.02   0.01     0.00   0.00
m32ssp070.spec     0.00   0.00     0.04   0.02     0.00   0.02
m32ssp075.spec     0.20   0.03     0.13   0.05     0.08   0.03
m32ssp080.spec     0.26   0.04     0.18   0.05     0.11   0.03
m32ssp085.spec     0.29   0.04     0.20   0.06     0.13   0.03
m32ssp090.spec     0.36   0.05     0.23   0.06     0.15   0.04
m32ssp095.spec     0.45   0.05     0.25   0.08     0.18   0.05
m32ssp100.spec     0.48   0.05     0.22   0.07     0.17   0.05
m32ssp105.spec     0.49   0.05     0.22   0.07     0.17   0.04
m32ssp110.spec     0.49   0.04     0.20   0.07     0.16   0.05
m32ssp115.spec     0.49   0.02     0.22   0.08     0.23   0.04
m32ssp120.spec     0.54   0.03     0.29   0.07     0.36   0.04
m32ssp125.spec     0.56   0.02     0.29   0.06     0.36   0.03
m32ssp130.spec     0.59   0.03     0.26   0.06     0.35   0.03
m32ssp135.spec     0.75   0.04     0.42   0.05     0.40   0.03
m32ssp140.spec     0.84   0.06     0.63   0.07     0.61   0.03
m32ssp145.spec     0.83   0.06     0.70   0.08     0.66   0.03
m32ssp150.spec     0.81   0.07     0.72   0.08     0.71   0.04
m32ssp155.spec     0.82   0.08     0.77   0.07     0.77   0.04
m32ssp160.spec     0.89   0.08     0.93   0.08     0.85   0.04
m32ssp165.spec     0.97   0.10     0.95   0.08     0.88   0.04
m32ssp170.spec     1.05   0.10     0.97   0.10     0.89   0.04
m32ssp175.spec     1.06   0.10     0.97   0.09     0.88   0.04
m32ssp180.spec     1.09   0.10     0.97   0.10     0.88   0.04
m32ssp185.spec     1.09   0.10     0.99   0.09     0.89   0.04
m32ssp190.spec     1.11   0.11     1.00   0.09     0.91   0.04
m32ssp195.spec     1.12   0.10     1.03   0.10     0.92   0.05
m32ssp200.spec     1.11   0.10     1.04   0.11     0.94   0.04
m32ssp205.spec     1.12   0.11     1.04   0.09     0.95   0.04
m32ssp210.spec     1.13   0.10     1.06   0.11     0.97   0.04
m32ssp215.spec     1.16   0.10     1.06   0.10     0.98   0.04
m32ssp220.spec     1.16   0.12     1.08   0.09     0.99   0.04
m42ssp005.spec     0.00   0.00     0.00   0.00     0.00   0.00
m42ssp010.spec     0.00   0.00     0.00   0.00     0.00   0.00
m42ssp015.spec     0.00   0.00     0.00   0.00     0.00   0.00
m42ssp020.spec     0.00   0.00     0.00   0.00     0.00   0.00
m42ssp025.spec     0.00   0.00     0.00   0.00     0.00   0.00
m42ssp030.spec     0.00   0.00     0.00   0.00     0.00   0.00
m42ssp035.spec     0.00   0.00     0.00   0.00     0.00   0.00
m42ssp040.spec     0.00   0.00     0.00   0.00     0.00   0.00
m42ssp045.spec     0.60   0.08     0.47   0.19     0.36   0.12
m42ssp050.spec     0.60   0.06     0.38   0.18     0.31   0.11
m42ssp055.spec     0.31   0.05     0.23   0.09     0.19   0.08
m42ssp060.spec     0.63   0.05     0.37   0.15     0.35   0.10
m42ssp065.spec     0.75   0.07     0.64   0.14     0.60   0.09
m42ssp070.spec     0.64   0.10     1.06   0.16     0.99   0.11
m42ssp075.spec     0.52   0.10     0.92   0.12     0.81   0.08
m42ssp080.spec     0.30   0.10     0.89   0.10     0.73   0.07
